Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.67	Src1	combined	Drop	0	0	0	0
0.67	Src2	combined	Drop	0	0	0	0
0.67	Rtr1	combined	Drop	0	0	0	0
0.67	Rtr2	combined	Drop	0	0	0	0
0.67	Dst1	combined	Drop	0	0	0	0
0.67	Dst2	combined	Drop	0	0	0	0
0.68	Src1	combined	Drop	0	0	0	0
0.68	Src2	combined	Drop	0	0	0	0
0.68	Rtr1	combined	Drop	0	0	0	0
0.68	Rtr2	combined	Drop	0	0	0	0
0.68	Dst1	combined	Drop	0	0	0	0
0.68	Dst2	combined	Drop	0	0	0	0
0.69	Src1	combined	Drop	0	0	0	0
0.69	Src2	combined	Drop	0	0	0	0
0.69	Rtr1	combined	Drop	0	0	0	0
0.69	Rtr2	combined	Drop	0	0	0	0
0.69	Dst1	combined	Drop	0	0	0	0
0.69	Dst2	combined	Drop	0	0	0	0
0.7	Src1	combined	Drop	0	0	0	0
0.7	Src2	combined	Drop	0	0	0	0
0.7	Rtr1	combined	Drop	0	0	0	0
0.7	Rtr2	combined	Drop	0	0	0	0
0.7	Dst1	combined	Drop	0	0	0	0
0.7	Dst2	combined	Drop	0	0	0	0
0.71	Src1	combined	Drop	0	0	0	0
0.71	Src2	combined	Drop	0	0	0	0
0.71	Rtr1	combined	Drop	0	0	0	0
0.71	Rtr2	combined	Drop	0	0	0	0
0.71	Dst1	combined	Drop	0	0	0	0
0.71	Dst2	combined	Drop	0	0	0	0
0.72	Src1	combined	Drop	0	0	0	0
0.72	Src2	combined	Drop	0	0	0	0
0.72	Rtr1	combined	Drop	0	0	0	0
0.72	Rtr2	combined	Drop	0	0	0	0
0.72	Dst1	combined	Drop	0	0	0	0
0.72	Dst2	combined	Drop	0	0	0	0
0.73	Src1	combined	Drop	0	0	0	0
0.73	Src2	combined	Drop	0	0	0	0
0.73	Rtr1	combined	Drop	0	0	0	0
0.73	Rtr2	combined	Drop	0	0	0	0
0.73	Dst1	combined	Drop	0	0	0	0
0.73	Dst2	combined	Drop	0	0	0	0
0.74	Src1	combined	Drop	0	0	0	0
0.74	Src2	combined	Drop	0	0	0	0
0.74	Rtr1	combined	Drop	0	0	0	0
0.74	Rtr2	combined	Drop	0	0	0	0
0.74	Dst1	combined	Drop	0	0	0	0
0.74	Dst2	combined	Drop	0	0	0	0
0.75	Src1	combined	Drop	0	0	0	0
0.75	Src2	combined	Drop	0	0	0	0
0.75	Rtr1	combined	Drop	0	0	0	0
0.75	Rtr2	combined	Drop	0	0	0	0
0.75	Dst1	combined	Drop	0	0	0	0
0.75	Dst2	combined	Drop	0	0	0	0
0.76	Src1	combined	Drop	0	0	0	0
0.76	Src2	combined	Drop	0	0	0	0
0.76	Rtr1	combined	Drop	0	0	0	0
0.76	Rtr2	combined	Drop	0	0	0	0
0.76	Dst1	combined	Drop	0	0	0	0
0.76	Dst2	combined	Drop	0	0	0	0
0.77	Src1	combined	Drop	0	0	0	0
0.77	Src2	combined	Drop	0	0	0	0
0.77	Rtr1	combined	Drop	0	0	0	0
0.77	Rtr2	combined	Drop	0	0	0	0
0.77	Dst1	combined	Drop	0	0	0	0
0.77	Dst2	combined	Drop	0	0	0	0
0.78	Src1	combined	Drop	0	0	0	0
0.78	Src2	combined	Drop	0	0	0	0
0.78	Rtr1	combined	Drop	0	0	0	0
0.78	Rtr2	combined	Drop	0	0	0	0
0.78	Dst1	combined	Drop	0	0	0	0
0.78	Dst2	combined	Drop	0	0	0	0
0.79	Src1	combined	Drop	0	0	0	0
0.79	Src2	combined	Drop	0	0	0	0
0.79	Rtr1	combined	Drop	0	0	0	0
0.79	Rtr2	combined	Drop	0	0	0	0
0.79	Dst1	combined	Drop	0	0	0	0
0.79	Dst2	combined	Drop	0	0	0	0
0.8	Src1	combined	Drop	0	0	0	0
0.8	Src2	combined	Drop	0	0	0	0
0.8	Rtr1	combined	Drop	0	0	0	0
0.8	Rtr2	combined	Drop	0	0	0	0
0.8	Dst1	combined	Drop	0	0	0	0
0.8	Dst2	combined	Drop	0	0	0	0
0.81	Src1	combined	Drop	0	0	0	0
0.81	Src2	combined	Drop	0	0	0	0
0.81	Rtr1	combined	Drop	0	0	0	0
0.81	Rtr2	combined	Drop	0	0	0	0
0.81	Dst1	combined	Drop	0	0	0	0
0.81	Dst2	combined	Drop	0	0	0	0
0.82	Src1	combined	Drop	0	0	0	0
0.82	Src2	combined	Drop	0	0	0	0
0.82	Rtr1	combined	Drop	0	0	0	0
0.82	Rtr2	combined	Drop	0	0	0	0
0.82	Dst1	combined	Drop	0	0	0	0
0.82	Dst2	combined	Drop	0	0	0	0
0.83	Src1	combined	Drop	0	0	0	0
0.83	Src2	combined	Drop	0	0	0	0
0.83	Rtr1	combined	Drop	0	0	0	0
0.83	Rtr2	combined	Drop	0	0	0	0
0.83	Dst1	combined	Drop	0	0	0	0
0.83	Dst2	combined	Drop	0	0	0	0
0.84	Src1	combined	Drop	0	0	0	0
0.84	Src2	combined	Drop	0	0	0	0
0.84	Rtr1	combined	Drop	0	0	0	0
0.84	Rtr2	combined	Drop	0	0	0	0
0.84	Dst1	combined	Drop	0	0	0	0
0.84	Dst2	combined	Drop	0	0	0	0
0.85	Src1	combined	Drop	0	0	0	0
0.85	Src2	combined	Drop	0	0	0	0
0.85	Rtr1	combined	Drop	0	0	0	0
0.85	Rtr2	combined	Drop	0	0	0	0
0.85	Dst1	combined	Drop	0	0	0	0
0.85	Dst2	combined	Drop	0	0	0	0
0.86	Src1	combined	Drop	0	0	0	0
0.86	Src2	combined	Drop	0	0	0	0
0.86	Rtr1	combined	Drop	0	0	0	0
0.86	Rtr2	combined	Drop	0	0	0	0
0.86	Dst1	combined	Drop	0	0	0	0
0.86	Dst2	combined	Drop	0	0	0	0
0.87	Src1	combined	Drop	0	0	0	0
0.87	Src2	combined	Drop	0	0	0	0
0.87	Rtr1	combined	Drop	0	0	0	0
0.87	Rtr2	combined	Drop	0	0	0	0
0.87	Dst1	combined	Drop	0	0	0	0
0.87	Dst2	combined	Drop	0	0	0	0
0.88	Src1	combined	Drop	0	0	0	0
0.88	Src2	combined	Drop	0	0	0	0
0.88	Rtr1	combined	Drop	0	0	0	0
0.88	Rtr2	combined	Drop	0	0	0	0
0.88	Dst1	combined	Drop	0	0	0	0
0.88	Dst2	combined	Drop	0	0	0	0
0.89	Src1	combined	Drop	0	0	0	0
0.89	Src2	combined	Drop	0	0	0	0
0.89	Rtr1	combined	Drop	0	0	0	0
0.89	Rtr2	combined	Drop	0	0	0	0
0.89	Dst1	combined	Drop	0	0	0	0
0.89	Dst2	combined	Drop	0	0	0	0
0.9	Src1	combined	Drop	0	0	0	0
0.9	Src2	combined	Drop	0	0	0	0
0.9	Rtr1	combined	Drop	0	0	0	0
0.9	Rtr2	combined	Drop	0	0	0	0
0.9	Dst1	combined	Drop	0	0	0	0
0.9	Dst2	combined	Drop	0	0	0	0
0.91	Src1	combined	Drop	0	0	0	0
0.91	Src2	combined	Drop	0	0	0	0
0.91	Rtr1	combined	Drop	0	0	0	0
0.91	Rtr2	combined	Drop	0	0	0	0
0.91	Dst1	combined	Drop	0	0	0	0
0.91	Dst2	combined	Drop	0	0	0	0
0.92	Src1	combined	Drop	0	0	0	0
0.92	Src2	combined	Drop	0	0	0	0
0.92	Rtr1	combined	Drop	0	0	0	0
0.92	Rtr2	combined	Drop	0	0	0	0
0.92	Dst1	combined	Drop	0	0	0	0
0.92	Dst2	combined	Drop	0	0	0	0
0.93	Src1	combined	Drop	0	0	0	0
0.93	Src2	combined	Drop	0	0	0	0
0.93	Rtr1	combined	Drop	0	0	0	0
0.93	Rtr2	combined	Drop	0	0	0	0
0.93	Dst1	combined	Drop	0	0	0	0
0.93	Dst2	combined	Drop	0	0	0	0
0.94	Src1	combined	Drop	0	0	0	0
0.94	Src2	combined	Drop	0	0	0	0
0.94	Rtr1	combined	Drop	0	0	0	0
0.94	Rtr2	combined	Drop	0	0	0	0
0.94	Dst1	combined	Drop	0	0	0	0
0.94	Dst2	combined	Drop	0	0	0	0
0.95	Src1	combined	Drop	0	0	0	0
0.95	Src2	combined	Drop	0	0	0	0
0.95	Rtr1	combined	Drop	0	0	0	0
0.95	Rtr2	combined	Drop	0	0	0	0
0.95	Dst1	combined	Drop	0	0	0	0
0.95	Dst2	combined	Drop	0	0	0	0
0.96	Src1	combined	Drop	0	0	0	0
0.96	Src2	combined	Drop	0	0	0	0
0.96	Rtr1	combined	Drop	0	0	0	0
0.96	Rtr2	combined	Drop	0	0	0	0
0.96	Dst1	combined	Drop	0	0	0	0
0.96	Dst2	combined	Drop	0	0	0	0
